"Main","Day","TotalVolume"
" OVERLEA BLVD ","Wednesday",63457
" PAPE AVE ","Thursday",31314
" PARK HOME AVE ","Monday",24062
" PARK LAWN RD ","Tuesday",55664
" PARKSIDE DR ","Wednesday",58046
" PARKWOODS VILLAGE DR ","Tuesday",23215
" PARLIAMENT ST ","Wednesday",104960
" PASSMORE AVE ","Saturday",8202
" PHARMACY AVE ","Wednesday",332640
" PORT UNION RD ","Tuesday",42760
" POYNTZ AVE ","Tuesday",6514
" PRINCES BLVD ","Tuesday",1518
" PROGRESS AVE ","Wednesday",134232
" QUEEN ST E ","Wednesday",327589
" QUEEN ST W ","Wednesday",296681
" QUEENS PARK ","Thursday",22654
" QUEENS PARK CRES E ","Wednesday",65085
" QUEENS PARK CRES W ","Tuesday",17479
" QUEENS PLATE DR ","Thursday",6407
" QUEENS QUAY E ","Wednesday",15323
" QUEENS QUAY W ","Wednesday",92461
" RANEE AVE ","Wednesday",10902
" RATHBURN RD ","Wednesday",26870
" RENFORTH DR ","Wednesday",107064
" REXDALE BLVD ","Wednesday",167876
" RICHMOND ST E ","Tuesday",41932
" RICHMOND ST W ","Wednesday",71906
" RIVER ST ","Monday",7494
" ROGERS RD ","Wednesday",91273
" RONCESVALLES AVE ","Thursday",18808
" ROYAL YORK RD ","Tuesday",146297
" RUNNYMEDE RD ","Thursday",7913
" SANDHURST CRCL ","Tuesday",4253
" SCARBOROUGH GOLF CLUB RD ","Wednesday",29362
" SCARLET RD ","Tuesday",8476
" SCARLETT RD ","Tuesday",54437
" SENTINEL RD ","Wednesday",16625
" SEWELLS RD ","Wednesday",5907
" SHAW ST ","Thursday",3555
" SHEPPARD AVE E ","Wednesday",1016570
" SHEPPARD AVE W ","Wednesday",399225
" SHERBOURNE ST ","Wednesday",139005
" SHERWAY GARDENS RD ","Tuesday",9713
" SHOREHAM DR ","Wednesday",11599
" SHUTER ST ","Tuesday",15621
" SIGNET DR ","Wednesday",22817
" SIMCOE ST ","Thursday",40429
" SOUTH KINGSWAY ","Tuesday",10550
" SOUTHVALE DR ","Saturday",8991
" SPADINA AVE ","Wednesday",339954
" SPADINA CRES ","Thursday",15197
" SPADINA RD ","Tuesday",64487
" ST CLAIR AVE E ","Wednesday",231709
" ST CLAIR AVE W ","Wednesday",461167
" ST DENNIS DR ","Tuesday",6903
" ST GEORGE ST ","Wednesday",54274
" STEELES AVE E ","Wednesday",943103
" STEELES AVE W ","Wednesday",935856
" STRACHAN AVE ","Wednesday",24507
" TALBOT RD ","Tuesday",4998
" TANGIERS RD ","Thursday",3039
" TAPSCOTT RD ","Wednesday",32583
" THE DONWAY W ","Tuesday",7564
" THE EAST MALL ","Wednesday",70807
" THE POND RD ","Wednesday",32603
" THE QUEENSWAY ","Wednesday",544115
" THE WEST MALL ","Tuesday",69147
" THE WESTWAY ","Wednesday",29043
" TORO RD ","Wednesday",4682
" TRETHEWEY DR ","Tuesday",41315
